	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
621	PRJEB72523		11087580	10552639	11087580	10552639	7612	21105278	18614989	88.20	2490289	11.80	234221_110_PRJEB72523_ERR14132106.err
622	PRJNA1167935	SRR30861121	44296405	41846299	44296405	41846299	16454	83692598	75768339	90.53	7924259	9.47	234217_67_PRJNA1167935_SRR30861121.err
623	PRJNA731589	SRR14610581	41243330	40610458	41243330	40610458	1273787	81220916	64861095	79.86	16359821	20.14	693420_140_PRJNA731589_SRR14610581.err
624	PRJNA763023	SRR16124238	36149844	35629870	36149844	35629870	2224360	71259740	64937504	91.13	6322236	8.87	693415_187_PRJNA763023_SRR16124238.err
625	PRJNA763023	SRR16124279	62254047	60900338	62254047	60900338	3607892	121800676	106476278	87.42	15324398	12.58	693415_92_PRJNA763023_SRR16124279.err
626	PRJNA1237248	SRR32732868	48402411	48381393			0	48381393	43658467	90.24	4722926	9.76	234325_109_PRJNA1237248_SRR32732868.err
627	PRJEB72525		25319607	24465669	25319607	24465669	15734	48931338	41990310	85.81	6941028	14.19	232906_59_PRJEB72525_ERR14207024.err
629	PRJNA1237248	SRR32733000	28689256	28677871			0	28677871	25291686	88.19	3386185	11.81	234325_216_PRJNA1237248_SRR32733000.err
630	PRJEB72526		16466095	16144889	16466095	16144889	75122	32289778	27770513	86.00	4519265	14.00	234324_25_PRJEB72526_ERR14225626.err
631	PRJEB72524		12538481	11883616	12538481	11883616	559260	23767232	20806699	87.54	2960533	12.46	694103_27_PRJEB72524_ERR14204778.err
632	PRJNA1237248	SRR32733603	38445494	38431291			0	38431291	34086389	88.69	4344902	11.31	234325_510_PRJNA1237248_SRR32733603.err
633	PRJNA1237248	SRR32733548	45706088	45687985			0	45687985	40717294	89.12	4970691	10.88	234325_465_PRJNA1237248_SRR32733548.err
634	PRJNA429097	SRR6451682	19980289	18242535	19980289	18242535	18598	36485070	30534515	83.69	5950555	16.31	693416_94_PRJNA429097_SRR6451682.err
635	PRJNA1237248	SRR32733458	56381643	56364052			0	56364052	50289290	89.22	6074762	10.78	234325_767_PRJNA1237248_SRR32733458.err
636	PRJNA1237248	SRR32732970	37344533	37332247			0	37332247	32760558	87.75	4571689	12.25	234325_684_PRJNA1237248_SRR32732970.err
637	PRJEB72524		8499810	7998838	8499810	7998838	391716	15997676	13933224	87.10	2064452	12.90	694103_190_PRJEB72524_ERR14205048.err
638	PRJNA1237248	SRR32733084	41973867	41960388			0	41960388	38020805	90.61	3939583	9.39	234325_765_PRJNA1237248_SRR32733084.err
639	PRJNA1237248	SRR32733128	57575937	57552237			0	57552237	51246570	89.04	6305667	10.96	234325_414_PRJNA1237248_SRR32733128.err
640	PRJEB72523		10860357	10480461	10860357	10480461	4026	20960922	18899239	90.16	2061683	9.84	234221_106_PRJEB72523_ERR14131291.err
641	PRJEB72523		13774994	13250861	13774994	13250861	7460	26501722	23738671	89.57	2763051	10.43	234221_59_PRJEB72523_ERR14134550.err
643	PRJNA1167935	SRR30861089	60601387	57693077	60601387	57693077	29878	115386154	100952613	87.49	14433541	12.51	234217_47_PRJNA1167935_SRR30861089.err
644	PRJNA731589	SRR14610595	42678190	41934324	42678190	41934324	158594	83868648	74225654	88.50	9642994	11.50	693420_96_PRJNA731589_SRR14610595.err
645	PRJNA429097	SRR6456209	19530422	17858173	19530422	17858173	48778	35716346	32365868	90.62	3350478	9.38	693416_138_PRJNA429097_SRR6456209.err
646	PRJEB72524		39401747	37436295	39401747	37436295	1632436	74872590	67045220	89.55	7827370	10.45	694103_74_PRJEB72524_ERR14204779.err
648	PRJNA429097	SRR6456363	17561456	15720654	17561456	15720654	46612	31441308	28839612	91.73	2601696	8.27	693416_110_PRJNA429097_SRR6456363.err
650	PRJNA1237248	SRR32732931	48562366	48538514			0	48538514	43854126	90.35	4684388	9.65	234325_360_PRJNA1237248_SRR32732931.err
652	PRJEB72524		17233685	16364844	17233685	16364844	780508	32729688	27995089	85.53	4734599	14.47	694103_151_PRJEB72524_ERR14205090.err
655	PRJNA763023	SRR16124299	35364379	34370270	35364379	34370270	512494	68740540	60549106	88.08	8191434	11.92	693415_73_PRJNA763023_SRR16124299.err
658	PRJNA731589	SRR14610692	39403272	38897738	39403272	38897738	263128	77795476	72273209	92.90	5522267	7.10	693420_136_PRJNA731589_SRR14610692.err
659	PRJNA1237248	SRR32733640	31154282	31143235			0	31143235	23323176	74.89	7820059	25.11	234325_756_PRJNA1237248_SRR32733640.err
660	PRJEB72524		8098300	7653594	8098300	7653594	322936	15307188	13577310	88.70	1729878	11.30	694103_121_PRJEB72524_ERR14204988.err
662	PRJNA1237248	SRR32732977	41147067	41134990			0	41134990	35450705	86.18	5684285	13.82	234325_42_PRJNA1237248_SRR32732977.err
663	PRJNA1237248	SRR32733429	46545935	46526672			0	46526672	42715173	91.81	3811499	8.19	234325_337_PRJNA1237248_SRR32733429.err
664	PRJNA447983	SRR6915194	13225377	13095878	13225377	13095878	246974	26191756	23492065	89.69	2699691	10.31	693749_16_PRJNA447983_SRR6915194.err
665	PRJNA1237248	SRR32733577	44212658	44194135			0	44194135	39670696	89.76	4523439	10.24	234325_544_PRJNA1237248_SRR32733577.err
666	PRJNA429097	SRR6456217	24112609	22884998	24112609	22884998	28368	45769996	39674703	86.68	6095293	13.32	693416_188_PRJNA429097_SRR6456217.err
667	PRJNA447983	SRR6915157	15310853	15013922	15310853	15013922	43680	30027844	25697443	85.58	4330401	14.42	693749_110_PRJNA447983_SRR6915157.err
669	PRJEB72524		16422390	15651399	16422390	15651399	727672	31302798	28106968	89.79	3195830	10.21	694103_23_PRJEB72524_ERR14204984.err
670	PRJEB72524		36504079	34615071	36504079	34615071	1599300	69230142	59993768	86.66	9236374	13.34	694103_28_PRJEB72524_ERR14205018.err
671	PRJEB72526		19670876	18547285	19670876	18547285	65950	37094570	32437450	87.45	4657120	12.55	234324_55_PRJEB72526_ERR14218887.err
672	PRJNA429097	SRR6456359	17659460	15497046	17659460	15497046	33964	30994092	28089483	90.63	2904609	9.37	693416_6_PRJNA429097_SRR6456359.err
674	PRJNA1237248	SRR32733135	47987754	47972384			0	47972384	42963580	89.56	5008804	10.44	234325_198_PRJNA1237248_SRR32733135.err
675	PRJNA763023	SRR16124211	32176291	31567794	32176291	31567794	2863350	63135588	57015543	90.31	6120045	9.69	693415_130_PRJNA763023_SRR16124211.err
677	PRJEB59350		15998534	14681539	15998534	14681539	14006	29363078	26271566	89.47	3091512	10.53	234322_116_PRJEB59350_ERR10825383.err
678	PRJNA1237248	SRR32732990	56510237	56489228			0	56489228	49966853	88.45	6522375	11.55	234325_531_PRJNA1237248_SRR32732990.err
679	PRJNA731589	SRR14610723	39688515	39091390	39688515	39091390	169388	78182780	70455176	90.12	7727604	9.88	693420_38_PRJNA731589_SRR14610723.err
680	PRJEB72524		10595983	10060419	10595983	10060419	462760	20120838	17869549	88.81	2251289	11.19	694103_98_PRJEB72524_ERR14204531.err
681	PRJNA1237248	SRR32733239	38139015	38124701			0	38124701	33515730	87.91	4608971	12.09	234325_12_PRJNA1237248_SRR32733239.err
684	PRJEB72526		29755507	29020532	29755507	29020532	226980	58041064	52194230	89.93	5846834	10.07	234324_38_PRJEB72526_ERR14225685.err
687	PRJNA763023	SRR16124222	26451038	25872147	26451038	25872147	1719614	51744294	45038001	87.04	6706293	12.96	693415_83_PRJNA763023_SRR16124222.err
690	PRJEB72523		21032819	20287108	21032819	20287108	11334	40574216	34319372	84.58	6254844	15.42	234221_15_PRJEB72523_ERR14140765.err
694	PRJNA763023	SRR16124367	35160250	34429373	35160250	34429373	2356740	68858746	63156184	91.72	5702562	8.28	693415_154_PRJNA763023_SRR16124367.err
695	PRJNA429097	SRR6456133	21745030	20125280	21745030	20125280	17144	40250560	35864651	89.10	4385909	10.90	693416_140_PRJNA429097_SRR6456133.err
696	PRJEB59350		36089635	30943303	36089635	30943303	36844	61886606	54558864	88.16	7327742	11.84	234322_122_PRJEB59350_ERR10821232.err
697	PRJEB72523		94971037	91107635	94971037	91107635	76118	182215270	160205571	87.92	22009699	12.08	234221_120_PRJEB72523_ERR14141126.err
698	PRJNA763023	SRR16124252	33849751	33498359	33849751	33498359	2254438	66996718	61241552	91.41	5755166	8.59	693415_22_PRJNA763023_SRR16124252.err
699	PRJNA1237248	SRR32732986	42108391	42092120			0	42092120	37472907	89.03	4619213	10.97	234325_796_PRJNA1237248_SRR32732986.err
700	PRJEB72524		6276996	5971165	6276996	5971165	271358	11942330	10249857	85.83	1692473	14.17	694103_56_PRJEB72524_ERR14205031.err
701	PRJEB72524		19365410	18334720	19365410	18334720	853694	36669440	31765206	86.63	4904234	13.37	694103_16_PRJEB72524_ERR14651430.err
702	PRJNA447983	SRR6915200	51537802	50623748	51537802	50623748	473624	101247496	88826670	87.73	12420826	12.27	693749_58_PRJNA447983_SRR6915200.err
704	PRJNA1237248	SRR32733325	38906113	38882499			0	38882499	34177101	87.90	4705398	12.10	234325_163_PRJNA1237248_SRR32733325.err
705	PRJNA763023	SRR16124294	38181151	37254560	38181151	37254560	2255046	74509120	67931870	91.17	6577250	8.83	693415_178_PRJNA763023_SRR16124294.err
706	PRJNA1237248	SRR32732920	30128274	30119512			0	30119512	26924096	89.39	3195416	10.61	234325_65_PRJNA1237248_SRR32732920.err
707	PRJEB59350		33418435	28363965	33418435	28363965	17332	56727930	48707538	85.86	8020392	14.14	234322_126_PRJEB59350_ERR10818858.err
708	PRJNA1237248	SRR32733343	42252836	42234319			0	42234319	38133594	90.29	4100725	9.71	234325_332_PRJNA1237248_SRR32733343.err
709	PRJEB72525		32900788	20030895	32900788	20030895	1242478	40061790	33019194	82.42	7042596	17.58	232906_75_PRJEB72525_ERR14205391.err
712	PRJEB59350		38472709	35399917	38472709	35399917	46394	70799834	62819045	88.73	7980789	11.27	234322_132_PRJEB59350_ERR10820978.err
713	PRJNA763023	SRR16124173	35595028	35092085	35595028	35092085	2301744	70184170	64663900	92.13	5520270	7.87	693415_160_PRJNA763023_SRR16124173.err
714	PRJNA447983	SRR6915165	11097528	10886485	11097528	10886485	28682	21772970	18415070	84.58	3357900	15.42	693749_119_PRJNA447983_SRR6915165.err
717	PRJEB72523		22166078	21002802	22166078	21002802	16106	42005604	37295398	88.79	4710206	11.21	234221_145_PRJEB72523_ERR14141070.err
718	PRJNA429097	SRR6456139	20165945	18493043	20165945	18493043	42874	36986086	31029748	83.90	5956338	16.10	693416_81_PRJNA429097_SRR6456139.err
720	PRJNA763023	SRR16124325	34735044	34107275	34735044	34107275	2393150	68214550	62921744	92.24	5292806	7.76	693415_134_PRJNA763023_SRR16124325.err
721	PRJNA731589	SRR14610728	32359418	31846045	32359418	31846045	88766	63692090	56542395	88.77	7149695	11.23	693420_21_PRJNA731589_SRR14610728.err
723	PRJNA1237248	SRR32733203	46458351	46436394			0	46436394	41746979	89.90	4689415	10.10	234325_411_PRJNA1237248_SRR32733203.err
725	PRJNA763023	SRR16124267	58603668	57237707	58603668	57237707	3210392	114475414	103301489	90.24	11173925	9.76	693415_48_PRJNA763023_SRR16124267.err
726	PRJNA763023	SRR16124336	37810005	37062926	37810005	37062926	2965168	74125852	66814507	90.14	7311345	9.86	693415_53_PRJNA763023_SRR16124336.err
727	PRJNA1237248	SRR32733508	63231254	63202720			0	63202720	58097609	91.92	5105111	8.08	234325_730_PRJNA1237248_SRR32733508.err
728	PRJEB59350		43527626	40051860	43527626	40051860	25762	80103720	70335865	87.81	9767855	12.19	234322_92_PRJEB59350_ERR10818779.err
729	PRJNA1237248	SRR32732962	32378346	32366182			0	32366182	29558123	91.32	2808059	8.68	234325_185_PRJNA1237248_SRR32732962.err
731	PRJEB72525		5618311	3186414	5618311	3186414	206922	6372828	5399227	84.72	973601	15.28	232906_36_PRJEB72525_ERR14205193.err
732	PRJNA1237248	SRR32733522	36995352	36980156			0	36980156	32554516	88.03	4425640	11.97	234325_204_PRJNA1237248_SRR32733522.err
733	PRJEB72525		6784761	3925930	6784761	3925930	237176	7851860	6823282	86.90	1028578	13.10	232906_51_PRJEB72525_ERR14205395.err
734	PRJEB72524		16360221	15580123	16360221	15580123	734896	31160246	27299880	87.61	3860366	12.39	694103_193_PRJEB72524_ERR14205106.err
737	PRJNA531273	SRR8865586	3634133	3523269	3634133	3523269	26924	7046538	6453881	91.59	592657	8.41	693418_3_PRJNA531273_SRR8865586.err
738	PRJNA1237248	SRR32733351	47871774	47851215			0	47851215	43782728	91.50	4068487	8.50	234325_84_PRJNA1237248_SRR32733351.err
740	PRJNA1237248	SRR32733629	37117508	37103862			0	37103862	33732134	90.91	3371728	9.09	234325_158_PRJNA1237248_SRR32733629.err
742	PRJNA763023	SRR16124168	35175084	34495170	35175084	34495170	1850836	68990340	62926166	91.21	6064174	8.79	693415_111_PRJNA763023_SRR16124168.err
745	PRJEB72525		21940058	21114648	21940058	21114648	9114	42229296	37421799	88.62	4807497	11.38	232906_70_PRJEB72525_ERR14205410.err
746	PRJNA1237248	SRR32733290	53983602	53958477			0	53958477	48982254	90.78	4976223	9.22	234325_845_PRJNA1237248_SRR32733290.err
748	PRJNA429097	SRR6456161	22967374	21870182	22967374	21870182	27536	43740364	33969347	77.66	9771017	22.34	693416_59_PRJNA429097_SRR6456161.err
749	PRJNA1237248	SRR32733134	57289220	57265673			0	57265673	50844049	88.79	6421624	11.21	234325_643_PRJNA1237248_SRR32733134.err
751	PRJNA1237248	SRR32733437	67371901	67353436			0	67353436	59902733	88.94	7450703	11.06	234325_627_PRJNA1237248_SRR32733437.err
752	PRJNA1237248	SRR32733028	49306901	49288264			0	49288264	43880065	89.03	5408199	10.97	234325_451_PRJNA1237248_SRR32733028.err
755	PRJNA429097	SRR6456189	19808431	18166815	19808431	18166815	74084	36333630	31070581	85.51	5263049	14.49	693416_75_PRJNA429097_SRR6456189.err
756	PRJNA1237248	SRR32733274	52192762	52169586			0	52169586	46676567	89.47	5493019	10.53	234325_721_PRJNA1237248_SRR32733274.err
758	PRJNA1237248	SRR32733056	53562656	53538026			0	53538026	49212487	91.92	4325539	8.08	234325_583_PRJNA1237248_SRR32733056.err
759	PRJNA1237248	SRR32733189	37093370	37079352			0	37079352	32254355	86.99	4824997	13.01	234325_253_PRJNA1237248_SRR32733189.err
760	PRJNA1167935	SRR30861107	12863256	12150538	12863256	12150538	207472	24301076	3719614	15.31	20581462	84.69	234217_15_PRJNA1167935_SRR30861107.err
761	PRJNA1237248	SRR32733182	50101564	50079353			0	50079353	44632219	89.12	5447134	10.88	234325_287_PRJNA1237248_SRR32733182.err
763	PRJNA1237248	SRR32733406	42758480	42737981			0	42737981	37754335	88.34	4983646	11.66	234325_265_PRJNA1237248_SRR32733406.err
764	PRJNA763023	SRR16124360	41073814	39731439	41073814	39731439	2299006	79462878	72636085	91.41	6826793	8.59	693415_156_PRJNA763023_SRR16124360.err
765	PRJEB72526		2165590	2096591	2165590	2096591	9596	4193182	3393277	80.92	799905	19.08	234324_46_PRJEB72526_ERR14225587.err
766	PRJEB72523		13169725	12710464	13169725	12710464	7030	25420928	22287742	87.67	3133186	12.33	234221_47_PRJEB72523_ERR14134531.err
769	PRJNA731589	SRR14610731	29034565	28741816	29034565	28741816	97294	57483632	50378034	87.64	7105598	12.36	693420_83_PRJNA731589_SRR14610731.err
770	PRJNA1237248	SRR32733450	43780343	43761687			0	43761687	39450290	90.15	4311397	9.85	234325_800_PRJNA1237248_SRR32733450.err
771	PRJNA429097	SRR6451255	18512295	16955959	18512295	16955959	32462	33911918	28878853	85.16	5033065	14.84	693416_79_PRJNA429097_SRR6451255.err
772	PRJNA1237248	SRR32733564	53030841	53010441			0	53010441	47695935	89.97	5314506	10.03	234325_45_PRJNA1237248_SRR32733564.err
773	PRJEB72524		35671069	33869572	35671069	33869572	1600312	67739144	60452376	89.24	7286768	10.76	694103_104_PRJEB72524_ERR14204996.err
774	PRJNA447983	SRR6915147	15326373	15077364	15326373	15077364	239916	30154728	26189352	86.85	3965376	13.15	693749_62_PRJNA447983_SRR6915147.err
775	PRJNA763023	SRR16124215	34431515	33415135	34431515	33415135	3208854	66830270	62769035	93.92	4061235	6.08	693415_74_PRJNA763023_SRR16124215.err
776	PRJEB72523		6237918	5994500	6237918	5994500	4052	11989000	10454154	87.20	1534846	12.80	234221_160_PRJEB72523_ERR14129560.err
777	PRJNA1237248	SRR32733474	35949901	35938184			0	35938184	32683054	90.94	3255130	9.06	234325_434_PRJNA1237248_SRR32733474.err
778	PRJNA1237248	SRR32733439	46470616	46455670			0	46455670	41295818	88.89	5159852	11.11	234325_132_PRJNA1237248_SRR32733439.err
780	PRJEB72523		14297932	13552183	14297932	13552183	9878	27104366	24163123	89.15	2941243	10.85	234221_123_PRJEB72523_ERR14134661.err
781	PRJNA1237248	SRR32733031	43805972	43787173			0	43787173	37597403	85.86	6189770	14.14	234325_604_PRJNA1237248_SRR32733031.err
783	PRJNA763023	SRR16124277	34987904	34513120	34987904	34513120	1991510	69026240	63648680	92.21	5377560	7.79	693415_6_PRJNA763023_SRR16124277.err
785	PRJNA1237248	SRR32733425	36351915	36340857			0	36340857	31992816	88.04	4348041	11.96	234325_5_PRJNA1237248_SRR32733425.err
786	PRJNA1237248	SRR32733690	44206062	44192564			0	44192564	39935319	90.37	4257245	9.63	234325_128_PRJNA1237248_SRR32733690.err
787	PRJEB72525		30041032	28577630	30041032	28577630	25292	57155260	49406964	86.44	7748296	13.56	232906_72_PRJEB72525_ERR14205394.err
789	PRJNA429097	SRR6451674	18882027	17401656	18882027	17401656	19620	34803312	30601652	87.93	4201660	12.07	693416_147_PRJNA429097_SRR6451674.err
790	PRJNA531273	SRR8865587	5684322	5449617	5684322	5449617	42300	10899234	8437081	77.41	2462153	22.59	693418_4_PRJNA531273_SRR8865587.err
792	PRJNA429097	SRR6456229	18890517	17763011	18890517	17763011	245251	35526022	30992217	87.24	4533805	12.76	693416_4_PRJNA429097_SRR6456229.err
794	PRJNA763023	SRR16124181	34848704	34258319	34848704	34258319	2519456	68516638	62384803	91.05	6131835	8.95	693415_75_PRJNA763023_SRR16124181.err
795	PRJNA763023	SRR16124231	33190369	32745350	33190369	32745350	2564184	65490700	56609720	86.44	8880980	13.56	693415_89_PRJNA763023_SRR16124231.err
796	PRJNA429097	SRR6456180	18659569	17724071	18659569	17724071	27558	35448142	29540792	83.34	5907350	16.66	693416_178_PRJNA429097_SRR6456180.err
797	PRJNA429097	SRR6451666	17709905	16628128	17709905	16628128	20578	33256256	21401989	64.35	11854267	35.65	693416_19_PRJNA429097_SRR6451666.err
798	PRJNA429097	SRR6456191	18288965	16800511	18288965	16800511	131770	33601022	28821854	85.78	4779168	14.22	693416_0_PRJNA429097_SRR6456191.err
799	PRJNA731589	SRR14610677	38768602	38228902	38768602	38228902	394263	76457804	68008905	88.95	8448899	11.05	693420_110_PRJNA731589_SRR14610677.err
800	PRJNA1237248	SRR32733089	49128845	49110556			0	49110556	43924556	89.44	5186000	10.56	234325_679_PRJNA1237248_SRR32733089.err
801	PRJNA1237248	SRR32732985	47291604	47273407			0	47273407	42549764	90.01	4723643	9.99	234325_485_PRJNA1237248_SRR32732985.err
802	PRJNA1237248	SRR32732925	30756984	30745682			0	30745682	27398192	89.11	3347490	10.89	234325_320_PRJNA1237248_SRR32732925.err
803	PRJNA1237248	SRR32733270	48656546	48632066			0	48632066	43688486	89.83	4943580	10.17	234325_88_PRJNA1237248_SRR32733270.err
804	PRJNA731589	SRR14610616	45203090	44656273	45203090	44656273	193110	89312546	82708262	92.61	6604284	7.39	693420_33_PRJNA731589_SRR14610616.err
805	PRJEB59350		25099548	20718744	25099548	20718744	52858	41437488	36624824	88.39	4812664	11.61	234322_127_PRJEB59350_ERR10837979.err
807	PRJNA1237248	SRR32733035	71913380	71879781			0	71879781	58416807	81.27	13462974	18.73	234325_112_PRJNA1237248_SRR32733035.err
808	PRJEB72525		8321942	4955648	8321942	4955648	319202	9911296	8734083	88.12	1177213	11.88	232906_31_PRJEB72525_ERR14205211.err
809	PRJEB72523		10483324	10162059	10483324	10162059	24350	20324118	18383344	90.45	1940774	9.55	234221_103_PRJEB72523_ERR14129704.err
810	PRJEB59350		34043474	31513454	34043474	31513454	37650	63026908	55734239	88.43	7292669	11.57	234322_105_PRJEB59350_ERR10819109.err
811	PRJNA763023	SRR16124362	41056097	39732116	41056097	39732116	2843928	79464232	67190300	84.55	12273932	15.45	693415_104_PRJNA763023_SRR16124362.err
812	PRJNA731589	SRR14610579	47162060	46406335	47162060	46406335	155892	92812670	82205769	88.57	10606901	11.43	693420_126_PRJNA731589_SRR14610579.err
813	PRJEB72523		14087079	13617369	14087079	13617369	27770	27234738	24028175	88.23	3206563	11.77	234221_23_PRJEB72523_ERR14134557.err
814	PRJEB72524		4314396	4091886	4314396	4091886	192434	8183772	7105165	86.82	1078607	13.18	694103_202_PRJEB72524_ERR14204979.err
815	PRJEB72524		23726549	22573072	23726549	22573072	1059664	45146144	39601585	87.72	5544559	12.28	694103_111_PRJEB72524_ERR14205010.err
816	PRJEB72523		8861603	8572317	8861603	8572317	17176	17144634	15547833	90.69	1596801	9.31	234221_148_PRJEB72523_ERR14129579.err
817	PRJNA1237248	SRR32733251	47229694	47208340			0	47208340	41872576	88.70	5335764	11.30	234325_474_PRJNA1237248_SRR32733251.err
818	PRJNA1237248	SRR32732845	50174525	50153965			0	50153965	45746831	91.21	4407134	8.79	234325_413_PRJNA1237248_SRR32732845.err
819	PRJEB59350		39403225	36197020	39403225	36197020	26340	72394040	63044530	87.09	9349510	12.91	234322_80_PRJEB59350_ERR10821210.err
820	PRJEB72525		4048545	3863509	4048545	3863509	1428	7727018	6780868	87.76	946150	12.24	232906_109_PRJEB72525_ERR14205393.err
821	PRJEB72524		10492600	9986879	10492600	9986879	442246	19973758	17639081	88.31	2334677	11.69	694103_75_PRJEB72524_ERR14204975.err
822	PRJNA731589	SRR14610696	34828908	34362666	34828908	34362666	184420	68725332	65085050	94.70	3640282	5.30	693420_10_PRJNA731589_SRR14610696.err
823	PRJNA447983	SRR6915121	37835246	36873781	37835246	36873781	50166	73747562	64564394	87.55	9183168	12.45	693749_8_PRJNA447983_SRR6915121.err
824	PRJNA763023	SRR16124217	40343907	39086441	40343907	39086441	2937556	78172882	71140228	91.00	7032654	9.00	693415_182_PRJNA763023_SRR16124217.err
825	PRJNA763023	SRR16124298	40566023	39772829	40566023	39772829	2674404	79545658	72395281	91.01	7150377	8.99	693415_198_PRJNA763023_SRR16124298.err
826	PRJEB72525		17091978	10275194	17091978	10275194	620162	20550388	17874862	86.98	2675526	13.02	232906_65_PRJEB72525_ERR14205979.err
827	PRJEB72525		25064195	14984782	25064195	14984782	899064	29969564	26089181	87.05	3880383	12.95	232906_100_PRJEB72525_ERR14205990.err
828	PRJEB72524		23398541	22245801	23398541	22245801	1032076	44491602	38000591	85.41	6491011	14.59	694103_85_PRJEB72524_ERR14204981.err
829	PRJNA1167935	SRR30861122	21813985	20767622	21813985	20767622	178382	41535244	19810457	47.70	21724787	52.30	234217_70_PRJNA1167935_SRR30861122.err
830	PRJNA763023	SRR16124190	37014313	36453060	37014313	36453060	2740580	72906120	68099422	93.41	4806698	6.59	693415_196_PRJNA763023_SRR16124190.err
831	PRJEB72525		10124332	6179698	10124332	6179698	476914	12359396	10470628	84.72	1888768	15.28	232906_39_PRJEB72525_ERR14205205.err
832	PRJNA1237248	SRR32733379	36181531	36170605			0	36170605	31956963	88.35	4213642	11.65	234325_352_PRJNA1237248_SRR32733379.err
833	PRJEB72523		19567060	18916670	19567060	18916670	14744	37833340	33072928	87.42	4760412	12.58	234221_67_PRJEB72523_ERR14138616.err
835	PRJNA1237248	SRR32732949	53469060	53452044			0	53452044	48144763	90.07	5307281	9.93	234325_154_PRJNA1237248_SRR32732949.err
836	PRJNA731589	SRR14610590	40383823	39759021	40383823	39759021	144552	79518042	72522064	91.20	6995978	8.80	693420_70_PRJNA731589_SRR14610590.err
837	PRJNA429097	SRR6451673	17971252	16418161	17971252	16418161	43874	32836322	27044172	82.36	5792150	17.64	693416_119_PRJNA429097_SRR6451673.err
838	PRJNA1237248	SRR32732965	49568569	49549593			0	49549593	45423742	91.67	4125851	8.33	234325_777_PRJNA1237248_SRR32732965.err
840	PRJNA1237248	SRR32733519	26188009	26177714			0	26177714	23299623	89.01	2878091	10.99	234325_81_PRJNA1237248_SRR32733519.err
841	PRJNA1237248	SRR32733601	41440927	41425157			0	41425157	37413826	90.32	4011331	9.68	234325_247_PRJNA1237248_SRR32733601.err
842	PRJNA763023	SRR16124241	36114138	35531338	36114138	35531338	1611452	71062676	65368743	91.99	5693933	8.01	693415_60_PRJNA763023_SRR16124241.err
843	PRJNA1237248	SRR32733216	39514110	39493544			0						234325_761_PRJNA1237248_SRR32733216.err
844	PRJNA1237248	SRR32733573	35263764	35247427			0	35247427	31892150	90.48	3355277	9.52	234325_350_PRJNA1237248_SRR32733573.err
845	PRJEB59350		26124109	21427515	26124109	21427515	42760	42855030	37547484	87.62	5307546	12.38	234322_61_PRJEB59350_ERR10823074.err
846	PRJNA531273	SRR8865578	4175092	3944619	4175092	3944619	31628	7889238	6448564	81.74	1440674	18.26	693418_1_PRJNA531273_SRR8865578.err
847	PRJNA1237248	SRR32733501	52698449	52676053			0	52676053	47969643	91.07	4706410	8.93	234325_535_PRJNA1237248_SRR32733501.err
848	PRJNA1237248	SRR32733348	55303715	55277488			0	55277488	49186389	88.98	6091099	11.02	234325_446_PRJNA1237248_SRR32733348.err
850	PRJEB72525		6702992	4031580	6702992	4031580	286330	8063160	7006446	86.89	1056714	13.11	232906_35_PRJEB72525_ERR14205387.err
851	PRJNA1167935	SRR30861083	68344199	65223565	68344199	65223565	38910	130447130	110006323	84.33	20440807	15.67	234217_44_PRJNA1167935_SRR30861083.err
852	PRJNA1167935	SRR30861091	58486416	55591442	58486416	55591442	32710	111182884	97166753	87.39	14016131	12.61	234217_9_PRJNA1167935_SRR30861091.err
854	PRJEB59350		42161083	34507610	42161083	34507610	44632	69015220	62764072	90.94	6251148	9.06	234322_79_PRJEB59350_ERR10822818.err
855	PRJNA1237248	SRR32733521	55146180	55120337			0	55120337	47424477	86.04	7695860	13.96	234325_596_PRJNA1237248_SRR32733521.err
856	PRJNA447983	SRR6915142	18001421	17633014	18001421	17633014	57564	35266028	30344999	86.05	4921029	13.95	693749_130_PRJNA447983_SRR6915142.err
857	PRJEB72526		11446686	10108881	11446686	10108881	19226	20217762	17805002	88.07	2412760	11.93	234324_58_PRJEB72526_ERR14218612.err
858	PRJNA731589	SRR14610606	43739657	43212829	43739657	43212829	279020	86425658	80937998	93.65	5487660	6.35	693420_0_PRJNA731589_SRR14610606.err
859	PRJNA1237248	SRR32733362	37919992	37905813			0	37905813	33446138	88.23	4459675	11.77	234325_246_PRJNA1237248_SRR32733362.err
860	PRJNA429097	SRR6456188	19290869	17928095	19290869	17928095	160890	35856190	25607154	71.42	10249036	28.58	693416_22_PRJNA429097_SRR6456188.err
865	PRJNA429097	SRR6451261	16492718	15726355	16492718	15726355	9162	31452710	27630355	87.85	3822355	12.15	693416_30_PRJNA429097_SRR6451261.err
866	PRJNA1167935	SRR30861081	39015312	37100794	39015312	37100794	35524	74201588	63734082	85.89	10467506	14.11	234217_48_PRJNA1167935_SRR30861081.err
867	PRJNA1237248	SRR32733593	62720714	62695195			0	62695195	56009585	89.34	6685610	10.66	234325_831_PRJNA1237248_SRR32733593.err
869	PRJEB72523		23734523	22834097	23734523	22834097	7466	45668194	41121885	90.04	4546309	9.96	234221_96_PRJEB72523_ERR14141076.err
